Year,Month,Weekly,Date,Fac.,Model,PGSC,Supplier,Part group,Stock Qty,Input Q'ty,Target of Input Qty,Inspection Qty,Pass Qty,Reject Qty,Return Qty,Percent,Return %,Result,Air Bubble,Big/ small,Bonding gap,Blk point,Burn,"Color 
Migration",C-Grade ,Crooked toe,Damaged,Deform,"Different 
color",Dirty,Long\ Short,Long ,Short,Missing Painting,Mold,Over Cement,Over painting,Over Primer,"Over
trimming",Uneven color,"Peel Off
painting",Poor Attached,"Poor 
buffing","Poor 
painting",Poor Trimming,Shiny/not shiny,Tear/ Crack,Thickness,Scratched,Toe spring/Hell spring,Undercure,Thinness Edge,Wobbling,Yellow,Over buffing,Poor edge,Fungus,Concave,Long toe,Others,REMARK
2025,1,1,2025-01-02,D,ADVANTAGE,AC5-ID9630,TAESUNG CU CHI,Outsole,741,459,1200,1200,1085,115,115,9.58%,9.58%,,,,,,,,,,5,,20,10,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,D,TENSAUR SPORT 2.0 CF K,AB-IG8580,HVC,Outsole,,1500,1500,150,148,2,2,1.33%,0.13%,Pass,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,D,VL COURT 3.0,A1-JP7535,EZ,Outsole,,0,1240,1240,1210,30,30,2.42%,2.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,D,VL COURT 3.0,A-JP5287,EZ,Outsole,,0,350,350,340,10,10,2.86%,2.86%,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,D,VL COURT 3.0,AC5-ID6276,EZ,Outsole,,0,420,420,415,5,5,1.19%,1.19%,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,D,ADVANTAGE,AC5-ID9630,TAESUNG CU CHI,Outsole,800,0,800,800,780,20,20,2.50%,2.50%,,,,,,,,,,,,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,TENSAUR COMFORT AC J,A1-JR7661,SOC TRANG,IMEVA,550,0,550,550,517,33,33,6.00%,6.00%,,,,,,,,,,7,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,VL COURT 3.0 EL C,AB4-ID9155,TAESUNG CU CHI,Outsole,1400,0,1400,1400,1337,63,63,4.50%,4.50%,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,GRAND COURT 2.0 EL C,AC2-IE5995,TAESUNG RACH GIA,Outsole,,290,290,290,226,64,64,22.07%,22.07%,,,,,,,,,,,,55,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,TENSAUR COMFORT AC J,A1-JR7662,SOC TRANG,IMEVA,950,0,950,950,896,54,54,5.68%,5.68%,,8,,,,,,,,9,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
