Year,Month,Week,Date,Supplier,Part,Process,Model,PGSC,Po#,Input Qty ,Inspection Q'ty ,Pass Qty ,Reject Qty ,Reject %,Result,"Wrong printing 
position",Bad printing,"Peel off 
printing",Delamination,"Wrong pressing 
position","Different
 color",Dirty,Bonding Gap,"Logo scratch/
peel of",High/ low sidetrip,Air hole,"Peel off
3 stripes",Poor 3 trip,Undistance,Damaged material,"Pressing not
emboss","Pressing not 
subsidence",Wrong size,Wrong material,"Wrong cutting
 direction",Wrong cutting die,Punch Hole,Peel off pressing,Overcement,Cutting deviated,Peel off eyestay,Burned Material,Poor logo,Color migration,Over painting,White spot,Needle hole,Jagged marks,Lack of painting,Big/Small Logo,Poor pressing,Poor edge,Peel off painting,Over trimming,Lack of details,Heel 3mm short,Heel 4mm short,Heel 5mm short,Heel 6mm short,Toe 3mm short,Wamp pattern position wrong over +-1mm,Wrong position logo 2mm,Wrong position logo 3-4-5mm,Logo dented,Wrong size toe box,Eyestay pressing subsidence not matching,Wrong wamp position to left/right,Other defect,Remark 
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Vamp,Nosew,TENSAUR SPORT 2.0 CF K,AB3-GW1987,900391406,538,27,27,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,GALAXY 7 M,AC3-ID8757,900415540,860,860,854,6,0.70%,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Vamp,Nosew,TENSAUR SPORT 2.0 CF K,AB3-GW6451,900431232,29,1,1,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,GALAXY 7 M,AC3-ID8757,900415540,860,43,43,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Vamp,Nosew,TENSAUR SPORT 2.0 CF I,AC3-IF1734,900347358,606,30,30,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,GALAXY 7 M,AC2-ID8757,900256008,257,13,13,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Vamp,Nosew,TENSAUR SPORT 2.0 CF I,AC3-IF1734,900347766,180,9,9,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,GALAXY 7 M,AC2-ID8757,900256008,257,257,253,4,1.56%,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Vamp,Nosew,TENSAUR SPORT 2.0 CF I,AC5-GW1988,900323145,185,9,9,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Vamp,Nosew,TENSAUR SPORT 2.0 CF I,AC5-GW1988,900322791,126,6,6,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Tongue/ back tap,HF,GRAND COURT 2.0,AB1-GW9215,900279381,2290,115,115,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,GALAXY 7 M,AC2-ID8757,900262716,219,11,11,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Tongue/ back tap,HF,GRAND COURT 2.0,AB1-GW9215,900277672,310,16,16,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,GALAXY 7 M,AC2-ID8757,900262716,219,219,209,10,4.57%,,,,,,,4,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,GALAXY 7 M,AB-ID8757,135848520,40,2,2,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-JH9322,135970630,166,8,8,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,GALAXY 7 M,AB-ID8757,135848520,40,40,40,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-JH9313,135876389,146,7,7,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,GALAXY 7 M,AB-ID8757,900216741,330,16,16,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-JH9313,135876389,146,146,139,7,4.79%,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-JH9324,135971529,10,10,10,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,GALAXY 7 M,AB-ID8757,900216741,330,330,330,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-JH9324,135971529,10,10,10,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-JH9324,900152783,30,1,1,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,GALAXY 7 M,AB-ID8757,900218315,150,7,7,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-JH9324,900152783,30,1,1,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,GALAXY 7 M,AB-ID8757,900218315,150,150,150,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-JH9324,135970298,10,10,10,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-JH9324,135970298,10,10,10,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,GALAXY 7 M,A-JI4601,900281040,210,210,202,8,3.81%,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Heel tap,Printing,GRAND COURT 2.0 EL C,AB2-IE3851,900303307,2389,2389,"2,347",42,1.76%,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,GALAXY 7 M,A-JI4601,900281040,210,10,10,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Tongue Logo,Printing,VL COURT 3.0 K,AC7-ID6313,900354707,453,45,45,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Tongue Logo,Printing,VL COURT 3.0 K,AC7-ID6313,900337193,384,38,38,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
